Concentration,Concentration [ug/mL],Time_min,RFU_Interpolated
0.3125 ug/mL,0.3125,5.04,9210.393091705784
0.3125 ug/mL,0.3125,5.069999999999999,9210.393094401303
0.3125 ug/mL,0.3125,5.1,9210.393096797816
0.3125 ug/mL,0.3125,5.13,9210.39309892849
0.3125 ug/mL,0.3125,5.16,9210.393100822817
0.3125 ug/mL,0.3125,5.1899999999999995,9210.39310250701
0.3125 ug/mL,0.3125,5.22,9210.393104004383
0.3125 ug/mL,0.3125,5.25,9210.393105335655
0.3125 ug/mL,0.3125,5.279999999999999,9210.393106519254
0.3125 ug/mL,0.3125,5.31,9210.393107571559
0.3125 ug/mL,0.3125,5.34,9210.393108507136
0.3125 ug/mL,0.3125,5.37,9210.393109338931
0.3125 ug/mL,0.3125,5.3999999999999995,9210.39311007846
0.3125 ug/mL,0.3125,5.43,9210.393110735953
0.3125 ug/mL,0.3125,5.46,9210.393111320513
0.3125 ug/mL,0.3125,5.49,9210.393111840229
0.3125 ug/mL,0.3125,5.52,9210.393112302296
0.3125 ug/mL,0.3125,5.55,9210.393112713105
0.3125 ug/mL,0.3125,5.58,9210.393113078346
0.3125 ug/mL,0.3125,5.609999999999999,9210.393113403072
0.3125 ug/mL,0.3125,5.64,9210.393113691776
0.3125 ug/mL,0.3125,5.67,9210.393113948456
0.3125 ug/mL,0.3125,5.7,9210.393114176662
0.3125 ug/mL,0.3125,5.7299999999999995,9210.393114379554
0.3125 ug/mL,0.3125,5.76,9210.39311455994
0.3125 ug/mL,0.3125,5.79,9210.393114720317
0.3125 ug/mL,0.3125,5.819999999999999,9210.393114862904
0.3125 ug/mL,0.3125,5.85,9210.393114989673
0.3125 ug/mL,0.3125,5.88,9210.39311510238
0.3125 ug/mL,0.3125,5.91,9210.393115202585
0.3125 ug/mL,0.3125,5.9399999999999995,9210.393115291676
0.3125 ug/mL,0.3125,5.97,9210.393115370884
0.3125 ug/mL,0.3125,6.0,9210.393115441304
0.3125 ug/mL,0.3125,6.029999999999999,9210.393115503914
0.3125 ug/mL,0.3125,6.06,9210.393115559578
0.3125 ug/mL,0.3125,6.09,9210.393115609068
0.3125 ug/mL,0.3125,6.12,9210.393115653067
0.3125 ug/mL,0.3125,6.1499999999999995,9210.393115692188
0.3125 ug/mL,0.3125,6.18,9210.393115726967
0.3125 ug/mL,0.3125,6.21,9210.39311575789
0.3125 ug/mL,0.3125,6.24,9210.39311578538
0.3125 ug/mL,0.3125,6.27,9210.393115809822
0.3125 ug/mL,0.3125,6.3,9210.393115831554
0.3125 ug/mL,0.3125,6.33,9210.393115850873
0.3125 ug/mL,0.3125,6.359999999999999,9210.393115868052
0.3125 ug/mL,0.3125,6.39,9210.393115883322
0.3125 ug/mL,0.3125,6.42,9210.3931158969
0.3125 ug/mL,0.3125,6.45,9210.393115908972
0.3125 ug/mL,0.3125,6.4799999999999995,9210.393115919705
0.3125 ug/mL,0.3125,6.51,9210.393115929248
0.3125 ug/mL,0.3125,6.54,9210.39311593773
0.3125 ug/mL,0.3125,6.569999999999999,9210.393115945273
0.3125 ug/mL,0.3125,6.6,9210.393115951978
0.3125 ug/mL,0.3125,6.63,9210.39311595794
0.3125 ug/mL,0.3125,6.66,9210.393115963241
0.3125 ug/mL,0.3125,6.6899999999999995,9210.393115967954
0.3125 ug/mL,0.3125,6.72,9210.393115972143
0.3125 ug/mL,0.3125,6.75,9210.393115975869
0.3125 ug/mL,0.3125,6.779999999999999,9210.393115979181
0.3125 ug/mL,0.3125,6.81,9210.393115982126
0.3125 ug/mL,0.3125,6.84,9210.393115984743
